Method,Organ,Views,PSNR,SSIM
XRAGS,chest,2,21.2160,0.7065
XRAGS,chest,3,26.6337,0.8390
XRAGS,chest,4,26.0341,0.8586
XRAGS,head,2,24.2580,0.8694
XRAGS,head,3,26.6472,0.9176
XRAGS,head,4,29.6833,0.9518
XRAGS,abdomen,2,25.2557,0.9068
XRAGS,abdomen,3,29.5460,0.9374
XRAGS,abdomen,4,30.9046,0.9627
XRAGS,foot,2,19.4367,0.6785
XRAGS,foot,3,28.6395,0.8993
XRAGS,foot,4,29.9532,0.9149
XRAGS,pancreas,2,17.9745,0.8147
XRAGS,pancreas,3,29.3678,0.9247
XRAGS,pancreas,4,30.9536,0.9361
R2GS,chest,2,21.05,0.711
R2GS,chest,3,26.22,0.8367
R2GS,chest,4,25.47,0.8546
R2GS,head,2,23.54,0.8718
R2GS,head,3,26.6,0.9223
R2GS,head,4,28.66,0.955
R2GS,abdomen,2,24.85,0.9028
R2GS,abdomen,3,29.26,0.9363
R2GS,abdomen,4,30.56,0.9617
R2GS,foot,2,19.39,0.6722
R2GS,foot,3,28.48,0.8977
R2GS,foot,4,30.04,0.913
R2GS,pancreas,2,17.83,0.8122
R2GS,pancreas,3,28.61,0.9199
R2GS,pancreas,4,30.9,0.936
XGS,chest,2,17.79,0.6488
XGS,chest,3,20.29,0.7427
XGS,chest,4,20.9,0.7689
XGS,head,2,19.62,0.8347
XGS,head,3,21.52,0.8697
XGS,head,4,24.46,0.9079
XGS,abdomen,2,18.93,0.8595
XGS,abdomen,3,23.54,0.9077
XGS,abdomen,4,23.85,0.9257
XGS,foot,2,22.34,0.6882
XGS,foot,3,25.48,0.8481
XGS,foot,4,26.92,0.874
XGS,pancreas,2,23.21,0.8502
XGS,pancreas,3,25.12,0.9006
XGS,pancreas,4,25.55,0.9124
CorGS,chest,2,14.96,0.5754
CorGS,chest,3,18.55,0.7077
CorGS,chest,4,20.29,0.7636
CorGS,head,2,16.24,0.7993
CorGS,head,3,20.36,0.8644
CorGS,head,4,23.4,0.9088
CorGS,abdomen,2,18.5,0.8645
CorGS,abdomen,3,22.45,0.9089
CorGS,abdomen,4,23.03,0.9269
CorGS,foot,2,20.17,0.6913
CorGS,foot,3,25.53,0.8511
CorGS,foot,4,26.83,0.8767
CorGS,pancreas,2,16.15,0.8088
CorGS,pancreas,3,23.25,0.8974
CorGS,pancreas,4,23.96,0.9084
DNGS,chest,2,18.84,0.6675
DNGS,chest,3,20.55,0.75
DNGS,chest,4,20.99,0.7791
DNGS,head,2,15.72,0.7296
DNGS,head,3,18.04,0.8097
DNGS,head,4,16.24,0.7924
DNGS,abdomen,2,14.3,0.7663
DNGS,abdomen,3,16.02,0.8258
DNGS,abdomen,4,15.76,0.8486
DNGS,foot,2,19.33,0.7801
DNGS,foot,3,23.51,0.8569
DNGS,foot,4,24.72,0.8666
DNGS,pancreas,2,19.06,0.8082
DNGS,pancreas,3,22.43,0.8848
DNGS,pancreas,4,25.47,0.8982
FSGS,chest,2,17.86,0.6451
FSGS,chest,3,19.99,0.7429
FSGS,chest,4,21.03,0.7729
FSGS,head,2,19.43,0.8334
FSGS,head,3,21.53,0.8732
FSGS,head,4,24.91,0.9105
FSGS,abdomen,2,18.75,0.858
FSGS,abdomen,3,23.34,0.9068
FSGS,abdomen,4,23.63,0.9276
FSGS,foot,2,22.17,0.6843
FSGS,foot,3,25.37,0.85
FSGS,foot,4,27.08,0.876
FSGS,pancreas,2,23.03,0.8564
FSGS,pancreas,3,25.27,0.9031
FSGS,pancreas,4,26.22,0.9148
XField,chest,2,19.57,0.6843
XField,chest,3,23.94,0.809
XField,chest,4,24.45,0.8255
XField,head,2,22.49,0.8413
XField,head,3,25.06,0.8878
XField,head,4,26.78,0.9089
XField,abdomen,2,22.2,0.719
XField,abdomen,3,24.87,0.8632
XField,abdomen,4,27.19,0.9103
XField,foot,2,20.45,0.6522
XField,foot,3,26.03,0.8405
XField,foot,4,27.25,0.8556
XField,pancreas,2,18.12,0.6871
XField,pancreas,3,24.94,0.8474
XField,pancreas,4,26.36,0.9004
