# Hyperparameter sensitivity data for XRA-GS (Chest 3-view)
# Generated by experiment agent; fill in from actual sweep logs.
# param: which hyperparameter is being swept
# value: the sweep value (numeric)
# psnr2d: five-organ average PSNR2D (dB) — fill from logs
# ssim2d: five-organ average SSIM2D      — fill from logs
# is_default: 1 if this row is the default configuration

param,value,psnr2d,ssim2d,is_default
sps_alpha,0.00,,, 0
sps_alpha,0.25,,,0
sps_alpha,0.50,,,0
sps_alpha,0.75,,,0
sps_alpha,1.00,,,0
sps_alpha,0.20,,,1
gap_tau,0.005,,,0
gap_tau,0.010,,,0
gap_tau,0.015,,,1
gap_tau,0.020,,,0
gap_tau,0.025,,,0
gap_beta,0.00,,,0
gap_beta,0.01,,,0
gap_beta,0.02,,,1
gap_beta,0.05,,,0
gap_beta,0.10,,,0
adm_warmup,0.00,,,0
adm_warmup,0.10,,,0
adm_warmup,0.25,,,1
adm_warmup,0.50,,,0
adm_warmup,0.75,,,0
